table_label,dataset,k,selector,metric,stat,seed,paper_value,source_value,delta,status,source_id
tab:per_seed_main_nlp,MNLI,1,Magnitude,accuracy,seed,0,36.97,36.971115,0.001115,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MNLI,1,Magnitude,accuracy,seed,1,42.53,42.534581,0.004581,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MNLI,1,Magnitude,accuracy,seed,2,38.3,38.303499,0.003499,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MNLI,1,Magnitude,accuracy,seed,3,38.04,38.039056,0.000944,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MNLI,1,Magnitude,accuracy,mean,,38.96,38.962063,0.002063,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MNLI,1,Magnitude,accuracy,se,,1.23,1.225167,0.004833,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MNLI,1,URS,accuracy,seed,0,39.57,39.574858,0.004858,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MNLI,1,URS,accuracy,seed,1,42.53,42.534581,0.004581,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MNLI,1,URS,accuracy,seed,2,38.73,38.730675,0.000675,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MNLI,1,URS,accuracy,seed,3,38.04,38.039056,0.000944,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MNLI,1,URS,accuracy,mean,,39.72,39.719793,0.000207,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MNLI,1,URS,accuracy,se,,0.99,0.989413,0.000587,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MNLI,2,Magnitude,accuracy,seed,0,38.78,38.78153,0.00153,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MNLI,2,Magnitude,accuracy,seed,1,46.04,46.043531,0.003531,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MNLI,2,Magnitude,accuracy,seed,2,40.82,40.815704,0.004296,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MNLI,2,Magnitude,accuracy,seed,3,40.58,40.581774,0.001774,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MNLI,2,Magnitude,accuracy,mean,,41.56,41.555635,0.004365,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MNLI,2,Magnitude,accuracy,se,,1.56,1.563457,0.003457,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MNLI,2,URS,accuracy,seed,0,44.0,43.999186,0.000814,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MNLI,2,URS,accuracy,seed,1,47.3,47.304719,0.004719,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MNLI,2,URS,accuracy,seed,2,43.12,43.124491,0.004491,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MNLI,2,URS,accuracy,seed,3,41.2,41.202197,0.002197,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MNLI,2,URS,accuracy,mean,,43.91,43.907648,0.002352,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MNLI,2,URS,accuracy,se,,1.27,1.274143,0.004143,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MNLI,4,Magnitude,accuracy,seed,0,45.89,45.890968,0.000968,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MNLI,4,Magnitude,accuracy,seed,1,54.52,54.515867,0.004133,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MNLI,4,Magnitude,accuracy,seed,2,49.02,49.023596,0.003596,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MNLI,4,Magnitude,accuracy,seed,3,50.96,50.956062,0.003938,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MNLI,4,Magnitude,accuracy,mean,,50.1,50.096623,0.003377,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MNLI,4,Magnitude,accuracy,se,,1.81,1.805253,0.004747,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MNLI,4,URS,accuracy,seed,0,54.86,54.861676,0.001676,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MNLI,4,URS,accuracy,seed,1,56.99,56.987388,0.002612,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MNLI,4,URS,accuracy,seed,2,53.9,53.895443,0.004557,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MNLI,4,URS,accuracy,seed,3,56.12,56.122864,0.002864,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MNLI,4,URS,accuracy,mean,,55.47,55.466843,0.003157,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MNLI,4,URS,accuracy,se,,0.68,0.681783,0.001783,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,1,Magnitude,accuracy,seed,0,50.24,50.243437,0.003437,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,1,Magnitude,accuracy,seed,1,52.16,52.162291,0.002291,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,1,Magnitude,accuracy,seed,2,56.23,56.229117,0.000883,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,1,Magnitude,accuracy,seed,3,54.4,54.396181,0.003819,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,1,Magnitude,accuracy,mean,,53.26,53.257757,0.002243,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,1,Magnitude,accuracy,se,,1.3,1.304197,0.004197,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,1,URS,accuracy,seed,0,50.41,50.405728,0.004272,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,1,URS,accuracy,seed,1,52.16,52.162291,0.002291,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,1,URS,accuracy,seed,2,57.15,57.145585,0.004415,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,1,URS,accuracy,seed,3,55.32,55.322196,0.002196,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,1,URS,accuracy,mean,,53.76,53.75895,0.00105,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,1,URS,accuracy,se,,1.52,1.519497,0.000503,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,2,Magnitude,accuracy,seed,0,50.38,50.377088,0.002912,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,2,Magnitude,accuracy,seed,1,52.82,52.821002,0.001002,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,2,Magnitude,accuracy,seed,2,58.99,58.988067,0.001933,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,2,Magnitude,accuracy,seed,3,57.32,57.317422,0.002578,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,2,Magnitude,accuracy,mean,,54.88,54.875895,0.004105,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,2,Magnitude,accuracy,se,,1.99,1.986053,0.003947,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,2,URS,accuracy,seed,0,51.64,51.637232,0.002768,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,2,URS,accuracy,seed,1,53.0,53.002387,0.002387,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,2,URS,accuracy,seed,2,59.71,59.713604,0.003604,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,2,URS,accuracy,seed,3,57.89,57.890215,0.000215,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,2,URS,accuracy,mean,,55.56,55.560859,0.000859,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,2,URS,accuracy,se,,1.93,1.928121,0.001879,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,4,Magnitude,accuracy,seed,0,53.94,53.937947,0.002053,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,4,Magnitude,accuracy,seed,1,57.37,57.374702,0.004702,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,4,Magnitude,accuracy,seed,2,65.93,65.928401,0.001599,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,4,Magnitude,accuracy,seed,3,63.38,63.379475,0.000525,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,4,Magnitude,accuracy,mean,,60.16,60.155131,0.004869,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,4,Magnitude,accuracy,se,,2.74,2.740304,0.000304,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,4,URS,accuracy,seed,0,55.89,55.894988,0.004988,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,4,URS,accuracy,seed,1,57.41,57.412888,0.002888,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,4,URS,accuracy,seed,2,66.57,66.568019,0.001981,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,4,URS,accuracy,seed,3,64.57,64.572792,0.002792,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,4,URS,accuracy,mean,,61.11,61.112172,0.002172,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,QNLI,4,URS,accuracy,se,,2.62,2.624339,0.004339,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,1,Magnitude,accuracy,seed,0,59.4,59.400545,0.000545,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,1,Magnitude,accuracy,seed,1,62.13,62.125341,0.004659,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,1,Magnitude,accuracy,seed,2,37.87,37.874659,0.004659,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,1,Magnitude,accuracy,seed,3,58.86,58.855586,0.004414,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,1,Magnitude,accuracy,mean,,54.56,54.564033,0.004033,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,1,Magnitude,accuracy,se,,5.61,5.608905,0.001095,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,1,URS,accuracy,seed,0,61.31,61.307902,0.002098,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,1,URS,accuracy,seed,1,62.4,62.39782,0.00218,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,1,URS,accuracy,seed,2,41.42,41.416894,0.003106,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,1,URS,accuracy,seed,3,58.31,58.310627,0.000627,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,1,URS,accuracy,mean,,55.86,55.858311,0.001689,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,1,URS,accuracy,se,,4.89,4.890736,0.000736,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,2,Magnitude,accuracy,seed,0,61.04,61.035422,0.004578,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,2,Magnitude,accuracy,seed,1,64.03,64.032698,0.002698,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,2,Magnitude,accuracy,seed,2,42.51,42.506812,0.003188,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,2,Magnitude,accuracy,seed,3,60.22,60.217984,0.002016,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,2,Magnitude,accuracy,mean,,56.95,56.948229,0.001771,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,2,Magnitude,accuracy,se,,4.88,4.88314,0.00314,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,2,URS,accuracy,seed,0,62.13,62.125341,0.004659,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,2,URS,accuracy,seed,1,64.31,64.305177,0.004823,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,2,URS,accuracy,seed,2,45.23,45.231608,0.001608,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,2,URS,accuracy,seed,3,62.4,62.39782,0.00218,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,2,URS,accuracy,mean,,58.51,58.514986,0.004986,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,2,URS,accuracy,se,,4.45,4.454263,0.004263,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,4,Magnitude,accuracy,seed,0,66.49,66.485014,0.004986,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,4,Magnitude,accuracy,seed,1,68.94,68.93733,0.00267,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,4,Magnitude,accuracy,seed,2,51.5,51.498638,0.001362,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,4,Magnitude,accuracy,seed,3,66.76,66.757493,0.002507,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,4,Magnitude,accuracy,mean,,63.42,63.419619,0.000381,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,4,Magnitude,accuracy,se,,4.01,4.011369,0.001369,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,4,URS,accuracy,seed,0,70.03,70.027248,0.002752,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,4,URS,accuracy,seed,1,69.75,69.754768,0.004768,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,4,URS,accuracy,seed,2,56.13,56.13079,0.00079,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,4,URS,accuracy,seed,3,68.12,68.119891,0.000109,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,4,URS,accuracy,mean,,66.01,66.008174,0.001826,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,4,URS,accuracy,se,,3.32,3.319287,0.000713,MATCH,per_seed_main_nlp
